objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237657189833835786,2728,301,1,449,1290,3,5.37834397641768,-0.911022007134362,22.90002,22.07109,21.50695,21.79391,21.24676,0.8024812,0.2000858,0.1851821,0.3526191,0.7292446
1237657189833835240,2728,301,1,449,744,6,5.40781397140375,-0.883197350193466,24.59526,21.88873,20.32404,18.94608,18.1402,0.8164615,0.06831248,0.02448072,0.0128427,0.02115006
1237657189833835517,2728,301,1,449,1021,6,5.40275302078362,-0.885306428834629,23.94266,23.55454,22.18323,21.29301,21.02394,0.6878423,0.2738313,0.1092398,0.07449468,0.2142207
1237657189833835241,2728,301,1,449,745,3,5.40619468358148,-0.883683403498302,24.30647,24.23958,24.22058,21.9095,22.21199,1.020904,0.5880144,0.7014196,0.1744335,0.6626782
1237657189833835692,2728,301,1,449,1196,6,5.40111913303559,-0.88250575841836,23.52079,26.04408,24.96181,22.39075,23.38721,0.5370544,0.4159575,0.5501813,0.1869549,0.4818346
1237657189833835208,2728,301,1,449,712,6,5.39462742172782,-0.885474488280608,25.40205,22.61438,21.90236,21.8432,21.20735,0.7319228,0.1394144,0.09944949,0.1382805,0.2831759
1237657189833835211,2728,301,1,449,715,3,5.39584352820526,-0.894924380854836,25.4042,22.53798,21.5057,21.23894,21.18776,0.7397544,0.1360301,0.07436023,0.08771195,0.2958263
1237657189833835691,2728,301,1,449,1195,3,5.40047799802147,-0.893039830225637,23.47656,23.53983,22.7901,21.75088,20.9096,0.8066635,0.4322309,0.309559,0.185399,0.3206962
1237657189833834852,2728,301,1,449,356,6,5.39827140785576,-0.891477757564066,24.90518,20.21507,18.74654,17.59946,16.98592,0.7728221,0.01959682,0.009576977,0.006899226,0.01054288
1237657189833835500,2728,301,1,449,1004,3,5.38850935091386,-0.899935143145231,23.21537,23.22318,22.24932,22.47074,22.80957,0.6147436,0.3023246,0.1765297,0.3156121,0.8695723
1237657189833835169,2728,301,1,449,673,3,5.37524474619056,-0.898239969112979,22.0197,20.9181,20.18808,19.80866,19.59962,0.2683275,0.05151931,0.03751299,0.03910692,0.1175922
1237657189833835170,2728,301,1,449,674,6,5.37703250835369,-0.898145700991468,24.61581,22.37596,21.73791,21.25529,20.92814,0.8255743,0.1024951,0.07541316,0.07289705,0.2014297
1237657189833835164,2728,301,1,449,668,3,5.37501134089604,-0.902408951419526,23.96925,21.58717,20.99655,20.59306,20.3189,1.236068,0.09103795,0.07488927,0.07813612,0.2229191
1237657189833835174,2728,301,1,449,678,3,5.3803775505578,-0.893476737209034,25.99785,22.72573,22.73286,21.93623,21.5425,0.4017785,0.1362742,0.1719099,0.1279766,0.3173034
1237657189833835487,2728,301,1,449,991,6,5.38093665145328,-0.901418174148029,25.30601,23.02049,21.70549,21.01919,20.77238,0.7352871,0.1913712,0.08173557,0.06616744,0.1935075
1237657189833835177,2728,301,1,449,681,6,5.38062260220028,-0.897770168749014,24.2711,22.95187,22.26708,21.83498,21.57145,0.7703298,0.1648315,0.1158426,0.1175626,0.3227448
1237657189833835178,2728,301,1,449,682,3,5.3808752537015,-0.898441038475114,24.42797,23.138,22.35501,21.98775,21.66649,0.8388188,0.2030669,0.1338922,0.1435255,0.3715493
1237657189833835684,2728,301,1,449,1188,3,5.38313139398548,-0.949570189381413,23.24995,24.32019,23.02429,22.18527,21.32509,0.4910769,0.5281631,0.2638872,0.1929402,0.3280443
1237657189833835518,2728,301,1,449,1022,3,5.40460928871971,-0.927981864285033,22.81037,22.89826,21.6233,21.42552,21.55818,0.4511012,0.2278111,0.1102465,0.1314179,0.5001791
1237657189833835232,2728,301,1,449,736,3,5.40301247416727,-0.932014879701943,24.72157,21.81282,21.02337,20.69352,20.29625,1.007364,0.07677434,0.05310065,0.05797532,0.1496642
1237657189833835804,2728,301,1,449,1308,3,5.39395766861179,-0.934301731333436,25.34144,22.12202,21.63093,20.92514,22.53489,3.153732,0.3614964,0.350907,0.288172,2.807561
1237657189833835789,2728,301,1,449,1293,3,5.40050480143572,-0.927281139073042,22.6924,21.76696,20.4117,21.43314,19.90203,1.955428,0.4223332,0.1935131,0.7256657,0.6579133
1237657189833835805,2728,301,1,449,1309,3,5.39691986049826,-0.940591351805846,24.96103,23.73978,23.06341,21.54088,21.62979,1.411613,0.5815365,0.4816967,0.1834843,0.7051077
1237657189833834538,2728,301,1,449,42,6,5.37401058647185,-0.932093530311916,24.25009,25.09379,25.30743,22.49274,22.95095,0.792842,0.5979729,0.5329051,0.2182225,0.5856846
1237657189833834541,2728,301,1,449,45,6,5.37277610618133,-0.932203236053276,24.02158,25.70865,24.9272,22.61602,22.86591,0.7108146,0.4913383,0.5591839,0.2305852,0.5624986
1237657189833834559,2728,301,1,449,63,6,5.37175297940871,-0.932126246093895,25.09459,25.86692,25.79375,22.64221,23.13363,0.7827498,0.5208161,0.4408908,0.259397,0.6041184
1237657189833835477,2728,301,1,449,981,3,5.37489281410711,-0.928670123391822,24.88783,24.49724,22.7272,24.11479,23.61068,0.8806129,0.5513607,0.1955236,0.6404421,0.4921016
1237657189833834540,2728,301,1,449,44,6,5.37006534794705,-0.931289429043287,24.83301,25.59933,25.2232,22.56,22.03198,0.8204082,0.5397412,0.5503114,0.2304685,0.4648312
1237657189833834558,2728,301,1,449,62,3,5.37436707844125,-0.939273169876741,24.6294,25.12211,24.80676,20.15771,22.82996,4.010524,3.261717,3.778025,0.163175,3.210471
1237657189833834515,2728,301,1,449,19,3,5.37554192951944,-0.937924085105067,24.81587,25.68387,25.10459,21.35416,22.82445,0.9229223,0.5888094,0.6732042,0.09891413,0.6842889
1237657189833834555,2728,301,1,449,59,3,5.3755758860184,-0.941142858606374,24.63472,25.11442,24.80207,20.47431,22.82694,2.662628,2.013422,2.299198,0.1612849,2.080535
1237657189833834543,2728,301,1,449,47,6,5.38408620349753,-0.937487208105812,24.59259,23.02809,24.03917,23.40339,22.74582,0.8505551,0.1836295,0.4889694,0.4368553,0.5879492
1237657189833834551,2728,301,1,449,55,6,5.3847425616442,-0.937298519924901,24.70848,24.44544,23.42515,23.43887,22.56465,0.8530964,0.5204996,0.3323017,0.4585607,0.588892
1237657189833834546,2728,301,1,449,50,6,5.38587064631872,-0.937097787460546,24.55202,23.58003,24.80678,24.15982,22.83384,0.8576328,0.2917756,0.6050026,0.6096643,0.5963415
